video_id,split,y_true,y_proba,title,channel_title,category_title,view_count,predicted
gwIFk-hVHzg,test,0,0.9815891700247318,แกล้งกวางตอนบาดเจ็บ Roblox #Shorts #Roblox,Thanks For Watching,Gaming,396790.0,1
eIV5ec-H_1M,test,0,0.9677032718972229,ข้ามสะพานที่อันตรายที่สุด Roblox #Shorts #Roblox,Thanks For Watching,Gaming,524303.0,1
TgWaeFhFCOw,test,0,0.9248355412277348,คุ้มไหมเอาจริงๆ #roblox,ONAMO ㅤ,Gaming,40373.0,1
1aXNKfT52wU,test,0,0.9178661985517897,ยืมตัวแปปตึงนะ #roblox,ONAMO ㅤ,Gaming,687176.0,1
vQOm6QKOjXM,test,0,0.9139238047248581,เพราะหัวใจไม่เคยอยากไปไหนสักวัน… 🎬 GALA PREMIERE ภาพยนตร์ “ข้างบ้าน” #ข้างบ้าน #นกน้อย #BOWKYLION,Whattheduck,Music,7830.0,1
yzYwy-foAlk,test,0,0.9109369246283411,ใครใจดีบ้าง #roblox,ONAMO ㅤ,Gaming,43579.0,1
OzsPCSee7TU,test,0,0.9105875688132948,Special show for special stage💚 #BOWKYLION #THETOYS #SpotifyWrappedLiveTH2025  #Whattheduckmusic,Whattheduck,Music,7029.0,1
JYjjjHs9xOc,test,0,0.9065128829400326,[Dota2] หลังจบ TI ไม่มี update อะไรดีๆเลย pro ว่าไงบ้าง?,LightFuryLF,Gaming,16705.0,1
LdrAc7Se-5U,test,0,0.9044933424271698,หยอกๆ #roblox,ONAMO ㅤ,Gaming,57439.0,1
mBsJsFgxVGY,test,0,0.8975680347918416,เมื่อมีลูกค้าตัวสูงหน้าตาแปลก! มาซื้อไอติม🍦แมพ icecream horror #avagame #roblox,AVA GAME,Gaming,168895.0,1
7YY2PxEWbdM,test,0,0.8966273311924811,ไว้ใจเกินไป #roblox,ONAMO ㅤ,Gaming,353856.0,1
xCJjg6mSuWY,test,0,0.8966179661160424,ธันเอาคืนมา #roblox,ONAMO ㅤ,Gaming,974671.0,1
QQyMmtgAVtg,test,0,0.8963022667465762,เศร้าวะคนดู #roblox,ONAMO ㅤ,Gaming,101348.0,1
e1e8uby1q10,test,0,0.8945892141575835,ติดอะไรอ่าา #roblox,ONAMO ㅤ,Gaming,439576.0,1
qrniuF8JdDg,test,0,0.893500430991264,Pvp มังกร #roblox,ONAMO ㅤ,Gaming,87063.0,1
t-e4RNWaVbw,test,0,0.8831159415066645,มังกรฟ้าแก้้มังกรไฟ #roblox,ONAMO ㅤ,Gaming,245182.0,1
S8ZvSwqHgfQ,test,0,0.8825349622174353,กวางได้รับบาดเจ็บ 😭 #99nightintheforest #kutcha #shorts,Kutcha Wants2playz,Gaming,207564.0,1
